timestamp,step,action,reward,balance,roulette_result
2025-08-14_08-18-36,63,"[np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(0.0)]",1.0,99994.0,10
2025-08-14_08-18-36,64,"[np.float32(1.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(1.0)]",0.0,99994.0,15
2025-08-14_08-18-36,65,"[np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(1.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(0.0), np.float32(0.0)]",1.0,99995.0,3
2025-08-14_08-18-36,66,"[np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(1.0), np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(1.0)]",0.0,99995.0,3
2025-08-14_08-18-36,67,"[np.float32(1.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(1.0)]",-7.0,99988.0,4
2025-08-14_08-18-36,68,"[np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(0.0)]",1.0,99989.0,33
2025-08-14_08-18-36,69,"[np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(1.0), np.float32(0.0)]",0.0,99989.0,26
2025-08-14_08-18-36,70,"[np.float32(0.0), np.float32(1.0), np.float32(1.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(1.0), np.float32(0.0), np.float32(0.0), np.float32(0.0), np.float32(1.0)]",3.0,99992.0,26
2025-08-14_08-18-36,71,"[np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(0.0), np.float32(1.0)]",-2.0,99990.0,13
2025-08-14_08-18-36,72,"[np.float32(0.0), np.float32(0.0), np.float32(1.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(0.0), np.float32(1.0), np.float32(0.0)]",-4.0,99986.0,15
